Data;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31
01/02/2012;0;0;0;0;0;0;0;0;0;0;53,9;0;0;11,7;1,4;11,1;0;0;0;0;0;2,5;8,6;17,6;0,7;3,3;5,9;20;0;;
01/01/2012;4;0;0;0;0;0;0;34,4;0;15,1;0;8,1;0,7;0;68,4;22,3;12,8;0;0;0;2,8;16,8;14,9;0;40,5;20,3;8,6;0,8;0;0;0
01/12/2011;5,2;0;0;0;0;0;0;3,3;1,1;15;0;0;0;18;0,8;0;0;0;0;0;0;0;0;0;14,6;0;0;0;23,8;0;3,9
01/11/2011;0;0;0;0;0;0;0;0;0;0;0,8;2,5;0;18,8;16,4;12;0;0;0;0;0;12,1;4,2;0;0;0;0;0;0,2;0;
01/10/2011;0;7,7;8,4;0;0;0;0;0;22,6;13,4;8,1;0;3,9;32,9;19,8;35,8;14,2;0;1,3;0;0;0;0;0;0;16,9;0;0;0;17,7;8,9
01/09/2011;0,3;0;0;0;0;0;0;0,2;3,9;2;0;0;0;0;0;0;0;0;0;0;2,1;0;0;7,1;0;0;0;0;0;0;
01/08/2011;66,9;41,1;0;0;0;0;0;0;0;20,2;5,8;0;0;0;0;0;0;0;0,6;34,4;4,6;0;1,5;0;0;0,3;0;0;0;0;7
01/07/2011;13,1;18,4;11;23,5;0;0;0;0;0;0;0;0;0;0;0;0;0;8,8;0;0;0;13,2;0,3;0;0;0;0;0;0;4,4;29,2
01/06/2011;0;0;0;0;0;0;0;15,4;0;6,4;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;6,8;5,7;0;0;16,1;
01/05/2011;1,6;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;12,4;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/04/2011;0;0;6,8;6,7;0;0;0;0;0;2;0;0;2,1;0;0;0;0;0;0;0;0;0,8;0;0,3;3,9;0,3;0;0;0,7;0;
01/03/2011;0;0;1,2;0;6,9;1,5;7,5;0,3;0;0;0;56,4;11;0;3,6;0;0;0;5,8;0;0;6,3;0;5,5;0;0;5,3;2,2;0;0;3,5
01/02/2011;8,9;2,5;0;0;0;0;33,4;0;6,7;3,4;0;0;0;10,1;0;0;0;0;0;19,5;0;0,3;8,6;18,9;0,2;0;0;0,8;;;
01/01/2011;0;0;0;4,5;11,5;2,7;7,8;3,1;5;10,2;9,7;9,8;13,9;14,3;0;0;0;23,2;23,6;18,8;9;16,1;5,5;11,2;0;3,9;0;0;0;4,3;32,3
01/12/2010;8,6;4,9;5,6;0;6,8;12,3;0;0;0;0;0;0;0;86,5;11,8;1,2;19,9;25,1;0;0;2,2;2,2;83;0;0;2,1;0;0;0;0;0
01/11/2010;0;0;0;0;0;7,4;0;0;0;0,6;0;0,2;0;0;0;0,6;2,7;0,2;0;0;0;0,6;30,4;0;11,5;19,7;0;0;0;0;
01/10/2010;6,2;7,4;49;0;16,2;0;0;20,7;0;0;0;0;0;0;7,5;10,4;0;37;0;0;0;0;0;0;0;13,1;0;0;0;0;29,7
01/09/2010;0;0;0;0;0;0;7;0;1,8;0;0;0;0;0;0;0;0;6,3;0;0;1,9;0,5;0;7,9;3,6;5,1;4,3;6,8;0;0;
01/08/2010;0;20,9;9;1,1;10,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/07/2010;0;0;0;0;0;0;0;0;0;0;0;10,2;4,4;4,9;2,1;19;0,2;0;0;0;0,3;0;0;2;0;0;0;0;0;0;0
01/06/2010;0;1,5;3,2;0;14,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,6;0;0;0;0;0;0;0;0;
01/05/2010;0;0;0;0;0;0;0;14,5;13,3;2,4;0;0;0;0;0;0;0;7,6;5,2;0;0;1,2;0;2,8;0;0;0;0;0;0;2,5
01/04/2010;0;0;0;17,8;0;22,2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,9;31,5;0;0;10,1;0;0,8;0;
01/03/2010;5,4;1;0;1,5;2,9;18;0;0;0;1;6,9;0,1;0;0;37,3;0;0;0;0;0;2,7;0;8,9;0;21,1;0;1,3;12,3;51,5;32,5;0
01/02/2010;43,8;0;5,5;0;0;0;0;0;0;11,5;2;6,8;14,6;2,8;0;0,6;0;20,7;10,4;0;0;0;4,6;11,3;21,9;1,4;1,5;3;;;
01/01/2010;6,4;0;4,7;1,8;14,5;27,3;18,9;8,6;12,3;9,6;6,7;9,3;16,2;5,7;10,9;0;1,2;0;3,6;0;1,9;22,1;7,1;0;0;66,2;7,5;0;36,9;37,9;11,9
01/12/2009;8,5;0;11,4;0;0;0;0;0,5;0;0;0;33,6;0,7;0;0;0;45,6;7,9;0;0;0;0;1,8;3,3;1,4;1,2;0;8,1;20,7;0;0
01/11/2009;0;0;0;0;0;0;0;3,9;14,4;0;22,3;0;0;0;0;53,4;0;0;0;62,4;0,5;0,5;0;0,9;0;5,9;1,6;10;8,2;0;
01/10/2009;0;0;0;0;0;0;3,2;19,1;0;0;0;0;22,1;0;21,7;0;6,1;17,6;3,5;13,2;0;10;0;0;0;0;12,2;0;0;0;0
01/09/2009;0;0;0;31,8;0,1;0;12,6;0,2;13,7;6,8;0;0;0;8,5;0;0;0;0;17,2;32,9;0;13,9;9;19,4;0;0;0;5,8;20,5;1,6;
01/08/2009;0,9;1,8;1;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;22,2;6,9;8,1;0;0;5,9;0;0,2;0;0;0;0;0
01/07/2009;10;16;0;0;0;1,2;0;0;0;1,7;86,4;17,4;0;0;0;0;1,1;4,2;0;0;0;0;28,2;43,7;1,1;1,7;26,7;14,6;21,2;23,4;0
01/06/2009;2,9;0;0;0;0;0;0;0;0;0;10,9;0;0;0;0;0;10;0;0;0;0;0;0;1,1;9,6;0,2;0;0;0,4;11,9;
01/05/2009;0;6,9;0;12,8;0;0;0;0;49,4;0,4;0;0;5,8;0;4,2;0;0;0;0;0;0;0;0;0;0;5,8;0,5;0,9;1,6;0;0
01/04/2009;0;0;12,5;0;0;0;0;0;0;0;0;0;0;0;0;0;1,3;0;0;0;0;0,6;1,7;0;0;0;0;0;0;0;
01/03/2009;26,9;1,6;0;0;0;0;8,4;0;3,7;14,3;0;0,6;3,4;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0,9;0;0
01/02/2009;0;0;0;3,4;14,1;43;0,4;14;0;0;0;21,4;0,7;0;0;3,5;45,1;0;0;0;0;13;0;8,5;4,5;6,4;18,2;0;;;
01/01/2009;0;0;28;6,3;5,3;2,1;0;0;0;0;14,4;0,4;0;4,8;29;0,4;70,2;19,5;0;9,6;4,5;0;0;0;0;0,8;20,8;20,5;17,4;7,2;0
01/12/2008;0;25,6;29;0;0;0;0;0;0;0;0,5;8;0;0;0;0,4;0;0;0;0;0;0;0;0;10,2;5,8;0;0;0;0;0,5
01/11/2008;0;3,1;34,5;0;0;1,5;14;0;0;0;6,8;0,2;0,4;2,3;5,7;0;4,9;0;0,2;0;0;5,2;0;0;0;0;0;0;0;0;
01/10/2008;0,3;32,4;0;0;52,6;0;0;0;0;0;0;8,9;0;0;1,2;3,2;18,5;8,9;0;0;0;0;0;0;7,6;0;0;0;0;2,7;0
01/09/2008;0;0;0;0;0;0;6,7;0;2,3;0;0;0;16;37,7;0;0;0;0;0;0,3;15,4;0;0;0;0;2,3;0;0;3,7;3;
01/08/2008;0,8;0,1;9,9;2,2;0;2,6;21,1;48;1,1;29,6;0;0,4;2,4;13,9;12,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/07/2008;0;0;0;4,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45,8;2,5;0;0;0;0;0;0
01/06/2008;8,8;2,3;0;26,9;0;0;0;0;0;0;0;0;14,2;2,6;0;0,9;0;0;0;0;5,7;2,7;0;0;0;0;0,3;0;0;0;
01/05/2008;0;44,9;4,8;0;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21,9;1,9;0
01/04/2008;0;0;4;0;0;0;0;0;0;0;0;28,5;12,8;30,8;0,1;1,3;6;0,3;0;1,2;0;16;4,1;0;0;0;0,4;0;3;18,1;
01/03/2008;9,9;1,3;0;0;0;0;0;0;0;0;9,4;19,3;18;7,8;0;4,3;0,9;0,5;0;0;18;8,2;16,4;10,1;0,7;0,6;0;0;0;0;0
01/02/2008;0;0;0;2,9;0;0;2,5;8,4;0;0;19,1;1,9;0;0;5,7;8,1;0,9;10,1;0,4;0;0;0;0;0,2;0;0;4,1;2,3;0;;
01/01/2008;0;28;0;0;5,7;12,2;0;0;0;0;0;53,4;3,2;7,2;6,1;6,1;0;1,8;5,7;5,7;8,1;0;0;0,6;0,1;2,3;0,4;0,5;1,6;0,6;0
01/12/2007;0;0;0;3,2;0,3;62,6;46,1;0;0;6,4;12,1;25,1;20;0;0;0;0;0;0;5,8;3,2;2,1;0;0;0;5,5;0;0;2,7;0;0
01/11/2007;0;4,3;33,8;10,3;0;0;0;0;0;33,2;19,5;0,4;0;0;17,2;0;0;0;9,1;0;0;0;0;0;0;0;2,3;0;0;0;
01/10/2007;0;0;0;0;0;0;0;0;0;0;0;0;0;54,3;3,3;0;0;0;0;0;0;11,9;0;0;5,1;0;0;6,1;0;23,7;0
01/09/2007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,5;3,7;0;0;0;0;1,7;0;5,9;0;
01/08/2007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,4;4,8;4,3;6,4
01/07/2007;0;0;0;0;0;0;0;0;0;0;0;0;0;0,6;0;48,3;13;7,4;0;0;0;0;71,4;7,1;38,2;0;0;0;0;0;2
01/06/2007;0;5,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
01/05/2007;0;0;0;0;0;0;0;0;29,5;0;0;0;0;13,3;0;0;0;0;39,5;15,2;0,5;13,8;6,7;0;0;0;0;0;0;0;0
01/04/2007;0;0;0;0;0;0;1,1;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,9;0;14,7;0,1;0,3;0;
01/03/2007;0,6;0;4,9;0;0;0;0;0;0;0;0;11,9;8,3;11,7;0,6;0,8;1,7;0;0,6;0;0;0;0;0;0;0;0;0;0;0;0
01/02/2007;0;11,5;9,9;0;0;0;0;29,2;0;1,7;14,3;4;0,6;0;0;0;0;0;83;0,3;8,2;5,3;0;0;0;24,4;9,9;3,1;;;
01/01/2007;0;3,9;24,5;41,1;2,6;12,1;1,8;0,2;0,7;0;0;1,1;5,3;0;0;0;0;23,4;2,1;41,1;0;0;0;0;0;0;3,4;6,7;20,5;8,6;0
01/12/2006;1,2;0;0;16,5;0;0;12,1;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0,8;0,5;0;21,6;2,9;1,3;0;0;0;0;0
01/11/2006;0;0,8;23,6;0;0;0;3,3;0;0;0,7;0;0;3,9;0;0;0;0;0;6,9;12,1;6,8;0;0,9;0;0;16,4;0,8;2,1;59,2;5,9;
01/10/2006;0;10,9;0;0;0;10,9;0;0;0;0;0;12;19,2;0;0;0;0,4;0;1,1;0;0;0;0;0;0;0;0;0;0;0;0
01/09/2006;15,9;53,3;0;0;0;0;0;0;0;0;0;0;0;0;0;12,3;40,8;1,4;0;0;23;0;0;3,3;0;0;0;0;0,8;7,9;
01/08/2006;4,3;2,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,7;0;9,6;1,6;0;0;0;0;0;0;3,1;0;0;0;5,8
01/07/2006;0;0;0;0;0;0;0;0;0;38,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;5,1;0;0
01/06/2006;0;0;0;0;0,3;3,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,2;0;0;0,6;0;
01/05/2006;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0,3;0;0;0;0;0;0;0;0
01/04/2006;0;0;0;0,5;0;0;0,8;0;24,3;21,9;2,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
01/03/2006;0;0;4,3;2,9;16,8;0,6;0;0;0;0,3;0;0;0;0;0;0;8,8;0;0;0;12,8;1,1;0,4;1,6;7,9;3,2;1,1;1,1;0;5,6;0
01/02/2006;0;0;0;0;0;0;10,2;21,9;0;63,5;2;5,8;0,8;0;0;0;25,4;1,5;0;1,4;0,3;0,7;56,6;2,9;0,2;0;0;0;;;
01/01/2006;5,2;0,2;27,5;2,8;0;0;0;0;0;0;0;0;0,7;0;0;0;0;0;0;13;5,2;0;16,2;16,7;6,2;1,4;1,3;0;73;1,1;0
